date,value,planting_rate,cars_per_k
2000-01-01,370.99,186,397
2000-02-01,371.98,201,394
2000-03-01,372.88,183,405
2000-04-01,372.38,186,399
2000-05-01,371.94,206,401
2000-06-01,370.96,215,408
2000-07-01,369.97,200,408
2000-08-01,369.67,181,392
2000-09-01,369.04,219,407
2000-10-01,369.46,211,404
2000-11-01,371.43,187,405
2000-12-01,372.11,216,404
2001-01-01,373.11,221,407
2001-02-01,374.25,207,421
2001-03-01,374.84,230,419
2001-04-01,374.19,197,412
2001-05-01,373.72,199,402
2001-06-01,373.26,231,404
2001-07-01,372.16,234,418
2001-08-01,371.74,227,417
2001-09-01,371.48,220,416
2001-10-01,372.41,232,419
2001-11-01,372.36,223,402
2001-12-01,373.61,197,410
2002-01-01,374.37,243,414
2002-02-01,376.13,241,424
2002-03-01,376.69,219,429
2002-04-01,376.5,211,427
2002-05-01,376.03,232,426
2002-06-01,375.14,242,422
2002-07-01,374.24,224,424
2002-08-01,374.4,238,414
2002-09-01,373.79,241,423
2002-10-01,373.89,244,430
2002-11-01,375.13,213,425
2002-12-01,376.31,240,428
2003-01-01,377.49,245,444
2003-02-01,378.73,262,432
2003-03-01,378.94,264,426
2003-04-01,378.67,253,436
2003-05-01,377.7,251,436
2003-06-01,377.3,261,428
2003-07-01,376.68,262,438
2003-08-01,375.99,252,442
2003-09-01,376.14,255,441
2003-10-01,376.54,228,433
2003-11-01,377.65,232,435
2003-12-01,378.22,249,443
2004-01-01,380.08,276,446
2004-02-01,380.26,278,456
2004-03-01,381.18,275,449
2004-04-01,381.19,271,441
2004-05-01,380.39,256,456
2004-06-01,380.12,274,455
2004-07-01,378.6,251,445
2004-08-01,378.39,260,449
2004-09-01,378.29,240,443
2004-10-01,378.66,273,455
2004-11-01,379.51,254,447
2004-12-01,381.01,276,440
2005-01-01,381.91,284,455
2005-02-01,382.98,275,469
2005-03-01,383.38,285,456
2005-04-01,383.4,293,460
2005-05-01,382.96,279,457
2005-06-01,382.22,275,466
2005-07-01,380.78,294,466
2005-08-01,380.79,294,457
2005-09-01,380.27,293,456
2005-10-01,380.41,264,457
2005-11-01,381.88,264,469
2005-12-01,382.7,284,457
2006-01-01,384.29,300,465
2006-02-01,385.05,302,473
2006-03-01,386.04,299,462
2006-04-01,385.63,299,481
2006-05-01,385.18,273,477
2006-06-01,384.43,290,481
2006-07-01,383.66,305,481
2006-08-01,382.56,305,474
2006-09-01,382.54,309,478
2006-10-01,383.6,304,473
2006-11-01,384.28,304,464
2006-12-01,385.25,304,479
2007-01-01,386.87,307,488
2007-02-01,387.57,295,492
2007-03-01,388.55,294,479
2007-04-01,388.22,301,482
2007-05-01,387.37,319,475
2007-06-01,386.23,290,479
2007-07-01,386.07,301,493
2007-08-01,385.37,285,474
2007-09-01,385.18,321,492
2007-10-01,384.92,300,478
2007-11-01,386.1,319,483
2007-12-01,387.5,289,474
2008-01-01,388.39,319,488
2008-02-01,389.53,311,490
2008-03-01,389.34,338,498
2008-04-01,390.07,317,492
2008-05-01,388.92,322,489
2008-06-01,388.25,320,497
2008-07-01,387.83,328,488
2008-08-01,387.34,336,488
2008-09-01,386.59,319,488
2008-10-01,387.5,305,488
2008-11-01,389.07,308,495
2008-12-01,389.96,323,501
2009-01-01,391.21,344,508
2009-02-01,391.09,321,511
2009-03-01,392.15,315,502
2009-04-01,392.81,327,506
2009-05-01,391.43,353,510
2009-06-01,390.58,319,515
2009-07-01,389.63,349,516
2009-08-01,389.28,337,513
2009-09-01,388.76,315,499
2009-10-01,389.46,327,502
2009-11-01,390.86,340,511
2009-12-01,391.39,335,512
2010-01-01,393.34,366,514
2010-02-01,394.1,362,528
2010-03-01,394.68,352,519
2010-04-01,394.56,369,525
2010-05-01,393.57,341,526
2010-06-01,393.07,346,518
2010-07-01,392.0,353,519
2010-08-01,392.06,335,526
2010-09-01,391.4,359,529
2010-10-01,391.83,355,513
2010-11-01,393.34,369,511
2010-12-01,394.86,331,511
2011-01-01,395.32,350,529
2011-02-01,395.88,354,533
2011-03-01,396.25,384,525
2011-04-01,396.69,373,525
2011-05-01,395.85,382,541
2011-06-01,395.32,377,527
2011-07-01,394.71,357,532
2011-08-01,393.58,378,525
2011-09-01,394.0,359,525
2011-10-01,394.56,379,541
2011-11-01,394.63,367,541
2011-12-01,395.86,372,527
2012-01-01,397.65,392,534
2012-02-01,397.96,372,550
2012-03-01,398.85,388,549
2012-04-01,398.78,361,539
2012-05-01,398.22,370,535
2012-06-01,397.41,364,542
2012-07-01,396.32,367,550
2012-08-01,395.97,392,543
2012-09-01,395.91,378,553
2012-10-01,396.44,385,550
2012-11-01,397.13,380,535
2012-12-01,398.72,364,545
2013-01-01,399.68,378,548
2013-02-01,400.51,402,556
2013-03-01,401.19,382,549
2013-04-01,401.01,393,546
2013-05-01,399.87,395,552
2013-06-01,400.02,402,555
2013-07-01,398.92,413,546
2013-08-01,398.48,391,547
2013-09-01,398.41,412,551
2013-10-01,398.08,404,552
2013-11-01,399.42,411,551
2013-12-01,400.72,409,562
2014-01-01,401.63,400,572
2014-02-01,402.86,390,574
2014-03-01,402.94,404,570
2014-04-01,403.12,402,560
2014-05-01,402.29,424,568
2014-06-01,401.49,398,563
2014-07-01,400.74,420,575
2014-08-01,399.98,395,576
2014-09-01,400.11,403,576
2014-10-01,400.72,418,560
2014-11-01,401.6,406,558
2014-12-01,402.91,402,563
2015-01-01,404.29,406,570
2015-02-01,404.9,444,584
2015-03-01,405.49,422,576
2015-04-01,405.49,425,583
2015-05-01,404.57,418,571
2015-06-01,404.32,405,582
2015-07-01,403.12,417,589
2015-08-01,402.88,424,581
2015-09-01,402.0,441,577
2015-10-01,402.91,407,571
2015-11-01,404.02,423,572
2015-12-01,404.92,412,570
2016-01-01,406.02,457,593
2016-02-01,406.48,421,597
2016-03-01,407.34,448,599
2016-04-01,407.43,433,598
2016-05-01,406.57,450,601
2016-06-01,406.63,438,597
2016-07-01,404.92,437,601
2016-08-01,405.03,450,595
2016-09-01,403.8,424,595
2016-10-01,405.69,449,593
2016-11-01,406.04,423,600
2016-12-01,406.96,449,599
2017-01-01,408.12,465,598
2017-02-01,409.7,474,607
2017-03-01,409.51,461,601
2017-04-01,409.76,462,607
2017-05-01,408.48,435,601
2017-06-01,407.93,453,600
2017-07-01,407.64,465,608
2017-08-01,407.12,453,592
2017-09-01,406.88,439,602
2017-10-01,407.91,457,603
2017-11-01,407.61,456,599
2017-12-01,409.44,472,600
2018-01-01,410.76,468,591
2018-02-01,411.8,488,609
2018-03-01,412.06,450,596
2018-04-01,411.56,455,603
2018-05-01,411.11,464,609
2018-06-01,410.21,480,603
2018-07-01,409.67,469,602
2018-08-01,409.16,457,603
2018-09-01,408.87,457,598
2018-10-01,409.83,451,604
2018-11-01,410.16,470,607
2018-12-01,411.93,475,595
2019-01-01,412.31,475,595
2019-02-01,414.25,479,605
2019-03-01,414.17,491,595
2019-04-01,414.34,503,597
2019-05-01,413.38,489,608
2019-06-01,413.22,504,602
2019-07-01,412.14,474,594
2019-08-01,411.12,494,598
2019-09-01,411.24,478,596
2019-10-01,411.36,493,605
2019-11-01,412.9,486,598
2019-12-01,413.92,466,605
2020-01-01,414.84,505,594
2020-02-01,416.39,502,598
2020-03-01,416.75,484,609
2020-04-01,416.03,482,591
2020-05-01,415.57,514,605
2020-06-01,415.61,515,601
2020-07-01,413.95,492,592
2020-08-01,413.37,494,592
2020-09-01,413.71,494,591
2020-10-01,413.71,494,594
2020-11-01,415.06,482,609
2020-12-01,416.05,483,606
2021-01-01,417.25,528,607
2021-02-01,417.85,529,608
2021-03-01,418.6,529,601
2021-04-01,418.06,513,599
2021-05-01,418.27,506,596
2021-06-01,417.19,527,599
2021-07-01,416.3,517,600
2021-08-01,415.93,526,591
2021-09-01,415.95,529,599
2021-10-01,416.16,496,609
2021-11-01,416.45,527,591
2021-12-01,418.16,516,595
2022-01-01,419.95,537,598
2022-02-01,420.58,520,602
2022-03-01,420.32,530,606
2022-04-01,420.46,545,594
2022-05-01,419.88,546,592
2022-06-01,419.21,524,601
2022-07-01,418.63,513,603
2022-08-01,418.09,543,608
2022-09-01,417.66,525,601
2022-10-01,417.91,529,598
2022-11-01,419.15,510,609
2022-12-01,420.59,533,595
2023-01-01,421.82,545,605
2023-02-01,421.69,546,598
2023-03-01,422.79,543,599
2023-04-01,423.11,547,599
2023-05-01,422.3,546,598
2023-06-01,421.1,551,590
2023-07-01,420.53,537,602
2023-08-01,420.67,526,594
2023-09-01,419.72,534,594
2023-10-01,420.12,536,597
2023-11-01,421.69,564,605
2023-12-01,422.13,531,604
2024-01-01,423.55,551,593
2024-02-01,424.63,558,593
2024-03-01,424.99,544,600
2024-04-01,425.24,544,596
2024-05-01,424.4,566,599
2024-06-01,423.2,567,602
2024-07-01,422.54,552,591
2024-08-01,422.32,572,600
2024-09-01,422.01,552,602
2024-10-01,422.47,544,603
2024-11-01,423.74,575,592
2024-12-01,424.68,578,591
